bodyid,name
986763734,LC10
986763451,LC10
986767293,LC10
986793149,KCa'b'-ap2_R
987419663,LC10
987419139,LC10
987419574,LC10
987424258,LC10
987424042,LC10
987104744,LC10
987273073,(PVL05)_L
987091864,LC10
987116716,LC10
987997896,PAM13(B'1ap)_L
988269593,FB4E_L
987759904,TuTuB_b(ADL19)_L
986974738,CRE010(ADM03)_L
988852391,PAM08_a(y4)_R
989228019,FB5V_R
987877232,FB4K_L
986828383,PAM13(B'1ap)_R
988632865,VES045(PDM13)_L
988909130,FB5V_R
988567837,FB4G_R
987117151,LAL010_R
985377724,LC10
985722839,LC10
985722546,LC10
986063833,LC10
985731781,LC10
986059778,LC10
986396100,LC10
985386679,LC10
986422220,LC10
986059699,LC10
985714517,LC10
985369220,LC10
986759122,LC10
985710145,LC10
986404884,LC10
985429128,KCab-m_R
986758977,LC10
986396204,LC10
986089634,AOTU003_R
985805061,CRE065_R
986098785,AOTU008_a_R
985472994,LAL198(PVM14)_L
985826737,LAL185_R
985835016,CRE101_R
985813153,MBON21(y4y5)(PVL06)_L
